ID,Source-ID,Date,Gas,Gas-GWP,Unit-Charge-(kg),CO2-Equivalent-Emissions-(kg)
1,FS001,2023-01-01,Halon-1301,7140,0.5,3570
2,FS001,2023-01-05,Halon-1301,7140,0.7,4998
3,FS001,2023-01-10,Halon-1301,7140,0.4,2856
4,FS002,2023-01-02,HFC-227ea,3220,1,3220
5,FS002,2023-01-06,HFC-227ea,3220,0.5,1610
6,FS001,2023-01-12,Halon-1301,7140,0.6,4284
7,FS002,2023-01-08,HFC-227ea,3220,0.3,966
8,FS001,2023-01-15,Halon-1301,7140,0.8,5712
9,FS002,2023-01-20,HFC-227ea,3220,0.4,1288
10,FS001,2023-01-18,Halon-1301,7140,0.9,6426
11,FS002,2023-01-22,HFC-227ea,3220,0.2,644
12,FS001,2023-01-25,Halon-1301,7140,1,7140
13,FS002,2023-01-26,HFC-227ea,3220,0.6,1932
14,FS001,2023-01-28,Halon-1301,7140,0.3,2142
15,FS002,2023-01-30,HFC-227ea,3220,0.7,2254
16,FS001,2023-02-01,Halon-1301,7140,0.4,2856
17,FS002,2023-02-03,HFC-227ea,3220,0.5,1610
18,FS001,2023-02-05,Halon-1301,7140,1.2,8568
19,FS002,2023-02-07,HFC-227ea,3220,0.9,2898
20,FS001,2023-02-09,Halon-1301,7140,0.5,3570
